,Control,DMD,Unknown
Module_13,2.100939341942656e-05,1.4525848934373576e-06,0.010023094596475464
Module_2,7.347342641145796e-05,2.0092346723204452e-05,0.026711412445848143
Module_1,1.2896406165344398e-05,6.893856313510081e-06,0.0243934225040452
Module_12,0.24249744109210372,0.3393683043954718,0.7012765869524791
Module_14,0.014612881790231656,0.05433660028032967,0.46399945300745354
Module_3,6.86424489666373e-05,5.0574508138403344e-05,0.043206607091657905
